case_id,reason_code,payment_rail,order_value,days_since_transaction,device_ip_match_history,auth_flow_type,customer_account_age_days,customer_past_order_count,customer_past_dispute_count,delivery_confirmed,tracking_available,merchant_comm_log_exists,refund_already_issued,label
non_del_00077,non_delivery,upi,551.59,42,,,25,5,1,1,1,1,0,1
non_del_00078,non_delivery,upi,1410.99,19,,,494,4,0,1,1,1,0,1
non_del_00079,non_delivery,upi,1834.33,34,,,1857,4,0,1,1,0,0,1
non_del_00080,non_delivery,upi,949.54,19,,,18,6,1,1,1,1,0,1
non_del_00081,non_delivery,upi,1960.68,19,,,1577,3,0,0,0,1,0,0
non_del_00082,non_delivery,upi,1041.34,29,,,1869,4,0,1,1,1,0,1
non_del_00083,non_delivery,upi,1650.86,4,,,229,6,0,0,1,1,0,1
non_del_00084,non_delivery,upi,796.25,15,,,721,7,0,0,0,1,0,1
non_del_00085,non_delivery,upi,1523.14,6,,,1792,8,1,1,1,1,0,1
non_del_00086,non_delivery,upi,2476.16,8,,,1440,3,0,1,1,1,0,1
non_del_00087,non_delivery,netbanking,2708.29,31,,,136,5,0,0,0,1,0,0
non_del_00088,non_delivery,upi,1674.03,7,,,1731,7,0,1,1,1,0,1
non_del_00089,non_delivery,netbanking,5596.63,9,,,1606,7,0,0,0,1,0,0
non_del_00090,non_delivery,upi,2095.89,25,,,624,7,0,1,1,1,0,1
non_del_00091,non_delivery,upi,2762.09,15,,,829,4,0,1,1,1,0,1
non_del_00092,non_delivery,upi,3742.99,5,,,610,8,0,1,1,1,1,1
non_del_00093,non_delivery,netbanking,963.37,43,,,1036,5,0,0,1,1,0,1
non_del_00094,non_delivery,netbanking,2459.7,41,,,1559,6,1,1,0,1,0,1
non_del_00095,non_delivery,upi,1945.63,26,,,1336,6,0,0,1,1,0,1
non_del_00096,non_delivery,netbanking,2519.42,23,,,1936,6,0,1,1,1,0,1
non_del_00097,non_delivery,netbanking,3170.67,36,,,198,1,1,1,1,1,0,1
non_del_00098,non_delivery,netbanking,838.46,43,,,1848,8,2,0,1,1,0,0
non_del_00099,non_delivery,upi,5450.18,4,,,1815,6,0,1,1,0,0,1
non_del_00100,non_delivery,upi,1728.03,4,,,764,6,0,0,1,1,0,1
non_del_00101,non_delivery,netbanking,1312.51,14,,,288,8,0,1,1,1,1,1
non_del_00102,non_delivery,netbanking,170.53,13,,,452,2,0,1,1,1,0,1
non_del_00103,non_delivery,netbanking,3583.58,40,,,1883,6,3,1,1,1,1,0
non_del_00104,non_delivery,upi,3029.18,22,,,20,4,2,1,1,1,0,1
non_del_00105,non_delivery,netbanking,1446.94,36,,,183,5,2,1,1,1,0,1
non_del_00106,non_delivery,netbanking,319.06,30,,,145,8,1,1,1,1,0,1
non_del_00107,non_delivery,netbanking,1779.64,32,,,344,4,1,1,1,1,1,1
non_del_00108,non_delivery,netbanking,497.11,43,,,1578,10,0,0,0,1,0,0
non_del_00109,non_delivery,upi,3349.19,26,,,116,5,1,1,1,1,0,1
non_del_00110,non_delivery,netbanking,1413.65,34,,,1929,4,0,0,1,1,0,1
non_del_00111,non_delivery,upi,780.28,12,,,796,5,0,0,0,1,0,1
non_del_00112,non_delivery,upi,1997.24,11,,,1064,4,0,1,1,1,0,1
non_del_00113,non_delivery,upi,2201.84,26,,,1182,8,0,0,0,1,0,1
non_del_00114,non_delivery,netbanking,2381.73,40,,,1622,6,0,1,1,1,0,1
non_del_00115,non_delivery,upi,822.08,2,,,1250,9,1,0,1,1,0,1
non_del_00116,non_delivery,upi,3153.61,22,,,122,5,2,1,1,1,0,1
non_del_00117,non_delivery,upi,1438.4,9,,,1657,5,0,0,1,1,0,1
non_del_00118,non_delivery,netbanking,231.26,39,,,177,2,0,0,0,1,0,0
non_del_00119,non_delivery,netbanking,1563.85,23,,,1057,6,1,1,1,1,0,1
non_del_00120,non_delivery,upi,1549.2,1,,,1733,9,2,1,0,1,0,0
non_del_00121,non_delivery,upi,1528.91,0,,,1020,11,2,0,1,1,1,0
non_del_00122,non_delivery,upi,2025.3,28,,,839,11,1,1,1,0,0,1
non_del_00123,non_delivery,upi,4719.78,10,,,652,5,0,1,1,1,0,1
non_del_00124,non_delivery,netbanking,1597.31,1,,,1570,8,0,1,1,1,0,1
non_del_00125,non_delivery,upi,1740.08,6,,,1302,7,1,0,0,1,0,0
non_del_00126,non_delivery,upi,1104.54,6,,,1622,7,0,1,1,1,0,1
non_del_00127,non_delivery,netbanking,1594.53,15,,,1817,2,0,1,1,1,1,1
non_del_00128,non_delivery,upi,2416.9,32,,,1184,10,0,0,1,1,0,1
non_del_00129,non_delivery,upi,2455.35,38,,,711,3,0,0,1,0,1,0
non_del_00130,non_delivery,upi,3929.42,23,,,1187,7,0,0,0,1,0,1
non_del_00131,non_delivery,upi,295.91,42,,,713,8,1,1,1,1,1,1
non_del_00132,non_delivery,upi,2931.36,35,,,411,10,0,1,1,1,0,1
non_del_00133,non_delivery,netbanking,2649.98,7,,,687,4,0,1,1,1,0,1
non_del_00134,non_delivery,netbanking,437.97,33,,,958,7,1,1,1,1,0,0
non_del_00135,non_delivery,netbanking,3875.04,10,,,455,5,0,1,1,1,1,1
non_del_00136,non_delivery,netbanking,529.19,43,,,631,10,0,1,0,1,1,0
non_del_00137,non_delivery,upi,2461.81,38,,,1133,3,0,1,0,1,1,1
non_del_00138,non_delivery,netbanking,239.92,2,,,270,7,1,1,1,1,0,1
non_del_00139,non_delivery,upi,774.66,7,,,212,5,1,0,1,1,0,1
non_del_00140,non_delivery,upi,2511.44,19,,,1548,6,0,0,0,1,0,0
non_del_00141,non_delivery,upi,2582.46,33,,,1669,8,1,1,0,1,0,1
non_del_00142,non_delivery,upi,1485.65,24,,,627,0,0,1,1,1,0,1
non_del_00143,non_delivery,upi,4113.29,3,,,276,4,0,0,1,1,0,1
non_del_00144,non_delivery,upi,2472.93,28,,,923,4,1,0,0,1,0,0
non_del_00145,non_delivery,upi,3206.4,29,,,348,4,0,1,1,1,0,1
non_del_00146,non_delivery,upi,1535.2,41,,,1754,3,0,1,1,1,0,1
non_del_00147,non_delivery,upi,681.11,11,,,138,7,0,1,0,1,0,1
non_del_00148,non_delivery,upi,674.81,1,,,1007,5,2,1,1,1,0,1
non_del_00149,non_delivery,upi,1294.84,33,,,763,7,1,1,1,1,0,1
non_del_00150,non_delivery,upi,804.62,31,,,933,12,0,1,1,1,0,1
non_del_00151,non_delivery,upi,759.12,23,,,1515,6,0,1,1,1,0,1
non_del_00152,non_delivery,upi,366.07,31,,,524,3,1,0,1,0,0,1
non_del_00153,non_delivery,upi,1360.04,8,,,1820,5,0,1,1,1,0,1
non_del_00154,non_delivery,netbanking,357.26,5,,,1956,14,3,1,1,1,0,0
non_del_00155,non_delivery,upi,1338.78,18,,,869,8,0,1,1,1,0,1
non_del_00156,non_delivery,upi,270.09,40,,,771,5,0,1,1,1,0,1
non_del_00157,non_delivery,netbanking,1244.47,23,,,471,4,0,0,0,1,0,0
non_del_00158,non_delivery,upi,2415.33,28,,,1627,8,0,1,1,1,0,1
non_del_00159,non_delivery,upi,780.48,44,,,1451,8,1,1,1,1,0,0
non_del_00160,non_delivery,upi,2043.66,13,,,900,10,0,0,0,0,0,0
non_del_00161,non_delivery,netbanking,1950.29,21,,,1376,4,0,1,1,1,0,1
non_del_00162,non_delivery,upi,972.79,30,,,736,4,0,1,1,1,0,1
non_del_00163,non_delivery,netbanking,339.64,6,,,1363,9,1,1,1,1,0,1
non_del_00164,non_delivery,netbanking,2942.84,18,,,1640,7,1,1,1,1,1,0
non_del_00165,non_delivery,upi,966.61,24,,,887,7,0,1,1,1,1,0
non_del_00166,non_delivery,upi,4467.1,13,,,1332,2,0,1,1,1,0,1
non_del_00167,non_delivery,upi,2844.93,9,,,1131,9,0,1,1,1,1,1
non_del_00168,non_delivery,upi,2526.43,19,,,145,7,2,1,0,1,0,1
non_del_00169,non_delivery,upi,519.99,39,,,124,5,2,1,1,1,0,0
non_del_00170,non_delivery,upi,2537.52,18,,,527,10,2,1,1,0,0,1
non_del_00171,non_delivery,netbanking,3451.74,37,,,500,3,0,0,0,1,0,0
non_del_00172,non_delivery,netbanking,1750.38,30,,,380,4,0,1,1,1,0,1
non_del_00173,non_delivery,netbanking,2066.2,5,,,1853,4,1,1,1,1,0,1
non_del_00174,non_delivery,upi,2425.65,41,,,1212,11,2,1,1,1,0,1
non_del_00175,non_delivery,netbanking,3711.37,26,,,84,7,0,1,1,1,0,1
non_del_00176,non_delivery,netbanking,2199.61,25,,,1807,7,0,0,1,1,0,0
non_del_00177,non_delivery,netbanking,2372.94,31,,,603,6,0,1,1,1,0,1
non_del_00178,non_delivery,netbanking,1994.53,1,,,1976,2,0,1,1,1,0,1
non_del_00179,non_delivery,upi,4553.35,11,,,454,9,0,1,1,0,0,1
non_del_00180,non_delivery,netbanking,1784.75,35,,,169,8,0,1,1,0,0,1
non_del_00181,non_delivery,upi,2361.63,28,,,261,5,0,1,1,1,0,1
non_del_00182,non_delivery,netbanking,3859.0,17,,,772,3,0,1,1,1,1,1
non_del_00183,non_delivery,upi,1182.95,20,,,1848,3,0,1,1,1,0,1
non_del_00184,non_delivery,upi,5096.21,27,,,1105,6,0,1,1,0,0,1
non_del_00185,non_delivery,upi,1092.17,21,,,252,9,0,1,1,1,0,1
non_del_00186,non_delivery,upi,790.06,20,,,636,5,0,1,1,1,0,1
non_del_00187,non_delivery,upi,2410.02,24,,,979,4,1,1,1,1,0,1
non_del_00188,non_delivery,netbanking,1048.85,12,,,1088,6,0,1,1,1,0,1
non_del_00189,non_delivery,upi,4419.24,25,,,1679,10,0,0,1,1,0,1
non_del_00190,non_delivery,upi,6139.39,31,,,92,7,0,1,1,1,0,1
non_del_00191,non_delivery,upi,814.93,31,,,8,7,2,1,1,1,0,1
non_del_00192,non_delivery,upi,751.35,27,,,1441,7,0,0,0,1,0,1
non_del_00193,non_delivery,upi,722.02,20,,,217,10,1,0,1,1,0,1
non_del_00194,non_delivery,netbanking,230.63,29,,,1366,6,0,1,1,1,0,1
non_del_00195,non_delivery,netbanking,1025.06,32,,,684,5,1,1,1,1,1,0
non_del_00196,non_delivery,upi,3354.25,13,,,776,8,0,1,1,1,1,0
non_del_00197,non_delivery,upi,2494.1,21,,,295,6,1,1,1,1,0,1
non_del_00198,non_delivery,netbanking,1438.36,30,,,1548,9,0,1,1,1,0,1
non_del_00199,non_delivery,upi,2299.56,29,,,366,8,3,0,0,1,0,0
non_del_00200,non_delivery,netbanking,557.37,22,,,17,8,0,1,1,1,1,0
non_del_00201,non_delivery,upi,1778.88,11,,,1182,6,1,1,1,1,0,1
non_del_00202,non_delivery,netbanking,2018.19,40,,,304,7,0,0,0,0,1,0
non_del_00203,non_delivery,upi,1931.3,24,,,342,5,0,1,1,1,0,1
non_del_00204,non_delivery,netbanking,998.71,24,,,437,11,0,1,1,1,0,1
non_del_00205,non_delivery,netbanking,968.36,21,,,1278,4,2,0,1,1,0,0
non_del_00206,non_delivery,upi,2653.58,34,,,1504,4,1,0,0,0,1,0
non_del_00207,non_delivery,upi,2541.08,13,,,1831,6,0,1,1,1,0,1
non_del_00208,non_delivery,upi,245.64,42,,,1964,8,1,0,0,1,0,0
non_del_00209,non_delivery,upi,240.34,2,,,459,8,0,1,1,1,0,1
non_del_00210,non_delivery,netbanking,5840.01,0,,,431,6,0,0,1,1,0,1
non_del_00211,non_delivery,upi,2064.16,22,,,425,7,2,1,1,1,0,0
non_del_00212,non_delivery,upi,1935.64,38,,,375,6,0,0,1,1,0,1
non_del_00213,non_delivery,upi,841.87,0,,,23,7,1,1,1,1,1,1
non_del_00214,non_delivery,upi,1308.61,30,,,1175,5,0,0,0,1,0,0
non_del_00215,non_delivery,netbanking,1065.81,17,,,30,7,0,1,1,1,0,1
non_del_00216,non_delivery,upi,3371.04,0,,,77,5,0,1,1,1,0,1
non_del_00217,non_delivery,netbanking,3268.55,16,,,793,7,2,0,1,1,0,0
non_del_00218,non_delivery,upi,2088.23,29,,,1620,5,1,1,1,1,0,1
non_del_00219,non_delivery,netbanking,1867.61,28,,,978,10,1,0,0,1,0,0
non_del_00220,non_delivery,upi,2346.87,38,,,795,3,0,1,1,1,0,1
non_del_00221,non_delivery,upi,1848.67,44,,,366,5,0,0,1,1,0,1
non_del_00222,non_delivery,upi,2655.34,2,,,1360,5,0,1,1,1,0,1
non_del_00223,non_delivery,netbanking,4094.17,38,,,646,8,0,1,1,1,0,1
non_del_00224,non_delivery,netbanking,1599.78,0,,,1992,4,1,1,1,1,0,1
non_del_00225,non_delivery,netbanking,854.39,43,,,281,9,1,1,0,1,1,0
non_del_00226,non_delivery,upi,1881.58,34,,,1571,5,0,0,0,1,0,1
non_del_00227,non_delivery,upi,1104.17,42,,,1362,2,2,0,1,1,0,0
non_del_00228,non_delivery,upi,441.85,3,,,732,5,2,0,1,1,0,0
non_del_00229,non_delivery,netbanking,673.11,3,,,786,6,0,1,1,1,1,1
non_del_00230,non_delivery,netbanking,3726.26,44,,,1923,5,2,0,1,1,0,0
non_del_00231,non_delivery,upi,1807.89,12,,,1468,7,2,1,1,1,0,0
non_del_00232,non_delivery,upi,1300.49,17,,,87,10,0,1,1,1,0,1
non_del_00233,non_delivery,upi,2007.59,13,,,1101,10,1,0,0,1,0,0
non_del_00234,non_delivery,upi,1171.3,7,,,1480,6,0,0,0,1,0,0
non_del_00235,non_delivery,netbanking,3801.26,3,,,755,7,2,1,1,1,0,0
non_del_00236,non_delivery,netbanking,5798.49,6,,,1381,4,0,1,1,0,0,1
non_del_00237,non_delivery,upi,1221.3,38,,,1253,3,1,1,1,0,0,1
non_del_00238,non_delivery,netbanking,1543.96,1,,,656,4,0,0,1,1,0,1
non_del_00239,non_delivery,netbanking,2196.26,40,,,15,7,2,1,1,1,1,0
non_del_00240,non_delivery,upi,610.57,9,,,71,8,1,1,1,1,0,1
non_del_00241,non_delivery,upi,282.36,27,,,1381,6,0,0,1,1,0,1
non_del_00242,non_delivery,upi,3526.55,11,,,1550,6,1,0,1,0,0,0
non_del_00243,non_delivery,netbanking,1278.17,40,,,742,4,1,1,1,1,0,1
non_del_00244,non_delivery,upi,1194.89,1,,,952,8,0,0,1,1,0,1
non_del_00245,non_delivery,upi,2300.46,32,,,1027,7,0,1,1,1,1,1
non_del_00246,non_delivery,upi,850.99,42,,,1766,5,0,1,1,1,0,1
non_del_00247,non_delivery,netbanking,1174.64,19,,,1047,5,1,1,1,0,0,1
non_del_00248,non_delivery,upi,620.42,20,,,1142,4,1,1,1,1,0,1
non_del_00249,non_delivery,netbanking,340.58,6,,,1117,3,0,1,1,1,1,1
non_del_00250,non_delivery,upi,1160.65,39,,,261,6,0,1,1,1,0,1
non_del_00251,non_delivery,netbanking,843.93,43,,,1405,8,1,1,1,1,0,1
non_del_00252,non_delivery,upi,756.13,22,,,1816,7,1,0,0,1,0,0
non_del_00253,non_delivery,upi,1733.56,31,,,222,6,1,1,1,1,0,1
non_del_00254,non_delivery,netbanking,2852.05,34,,,143,7,0,1,0,1,0,1
non_del_00255,non_delivery,upi,2886.72,15,,,978,9,0,1,1,1,0,1
non_del_00256,non_delivery,upi,2809.61,0,,,1529,4,0,1,1,0,0,1
non_del_00257,non_delivery,netbanking,949.68,5,,,167,6,0,0,1,1,0,1
non_del_00258,non_delivery,upi,1611.69,40,,,1487,9,0,1,1,1,0,1
non_del_00259,non_delivery,upi,1123.09,35,,,469,4,1,0,0,1,0,0
non_del_00260,non_delivery,netbanking,959.04,4,,,367,4,0,1,0,1,0,1
non_del_00261,non_delivery,netbanking,1007.17,36,,,379,3,0,1,1,1,0,1
non_del_00262,non_delivery,upi,704.13,39,,,1052,8,0,1,1,0,0,1
non_del_00263,non_delivery,upi,2023.91,24,,,1197,4,0,1,1,1,0,1
non_del_00264,non_delivery,upi,3405.13,20,,,924,5,0,1,1,1,1,1
non_del_00265,non_delivery,upi,1102.35,44,,,1212,4,0,1,1,1,0,1
non_del_00266,non_delivery,upi,1012.19,39,,,1610,8,1,0,1,1,0,1
non_del_00267,non_delivery,upi,274.29,17,,,1661,6,1,1,1,1,1,1
non_del_00268,non_delivery,netbanking,2524.1,21,,,1458,6,1,0,1,1,0,1
non_del_00269,non_delivery,upi,212.91,42,,,1044,11,1,1,1,1,0,1
non_del_00270,non_delivery,upi,1791.86,41,,,438,2,1,1,1,1,0,1
non_del_00271,non_delivery,netbanking,885.44,28,,,1489,7,1,0,1,1,1,0
non_del_00272,non_delivery,netbanking,1390.86,29,,,1346,10,0,0,0,1,0,1
non_del_00273,non_delivery,netbanking,1864.07,33,,,1778,8,0,1,1,1,0,1
non_del_00274,non_delivery,upi,1785.75,13,,,1424,4,0,0,1,0,0,0
non_del_00275,non_delivery,upi,3139.58,41,,,267,9,0,1,1,1,0,1
non_del_00276,non_delivery,netbanking,224.92,13,,,1139,7,0,1,1,1,0,1
non_del_00277,non_delivery,upi,2895.62,37,,,1442,10,0,0,1,0,0,1
non_del_00278,non_delivery,upi,1919.91,36,,,1994,11,1,1,1,1,0,1
non_del_00279,non_delivery,upi,3354.74,12,,,656,5,1,1,1,0,0,1
non_del_00280,non_delivery,netbanking,1704.38,36,,,1720,3,0,0,1,1,0,1
non_del_00281,non_delivery,upi,483.0,39,,,556,7,1,0,1,0,0,1
non_del_00282,non_delivery,upi,1534.42,22,,,754,10,0,0,0,1,0,0
non_del_00283,non_delivery,upi,2473.92,24,,,1926,6,1,1,1,1,0,1
non_del_00284,non_delivery,netbanking,2773.32,22,,,329,6,0,1,1,1,0,1
non_del_00285,non_delivery,upi,1573.31,2,,,413,3,0,1,1,1,0,1
non_del_00286,non_delivery,upi,1437.16,24,,,1670,7,0,1,1,1,0,1
non_del_00287,non_delivery,netbanking,1897.25,30,,,1829,5,0,0,0,1,0,0
non_del_00288,non_delivery,upi,3075.48,25,,,210,7,2,0,1,0,0,1
non_del_00289,non_delivery,upi,1181.55,22,,,1647,4,0,0,0,1,0,1
non_del_00290,non_delivery,upi,2205.95,22,,,1178,7,0,1,1,1,0,1
non_del_00291,non_delivery,upi,4815.08,24,,,1757,14,1,1,1,1,0,1
non_del_00292,non_delivery,upi,6840.82,41,,,994,6,1,1,1,1,0,1
non_del_00293,non_delivery,upi,3063.82,18,,,1172,8,0,0,0,0,0,1
non_del_00294,non_delivery,upi,1405.21,10,,,464,8,0,1,1,1,1,1
non_del_00295,non_delivery,netbanking,609.95,2,,,1169,7,1,1,1,1,0,1
non_del_00296,non_delivery,upi,2127.24,39,,,837,5,0,1,1,1,1,1
non_del_00297,non_delivery,upi,4148.61,8,,,805,4,0,0,1,1,1,1
non_del_00298,non_delivery,netbanking,1575.61,18,,,560,3,0,1,1,1,0,1
non_del_00299,non_delivery,netbanking,3298.24,34,,,802,5,0,0,0,1,1,0
non_del_00300,non_delivery,upi,3129.57,8,,,336,5,1,0,0,1,1,0
non_del_00301,non_delivery,upi,1700.4,10,,,1701,6,1,1,1,1,0,1
non_del_00302,non_delivery,upi,2948.21,28,,,810,4,2,1,1,1,0,1
non_del_00303,non_delivery,netbanking,670.81,28,,,776,6,2,1,1,1,0,1
non_del_00304,non_delivery,netbanking,1459.32,10,,,1959,2,0,0,0,1,0,0
non_del_00305,non_delivery,upi,2295.85,24,,,973,2,1,0,0,1,0,0
non_del_00306,non_delivery,upi,1671.37,31,,,1405,8,0,1,1,1,0,1
non_del_00307,non_delivery,upi,730.13,9,,,1992,8,2,1,1,1,0,1
non_del_00308,non_delivery,netbanking,2950.31,19,,,1724,5,0,1,1,1,0,1
non_del_00309,non_delivery,upi,2276.69,12,,,709,5,1,1,1,1,0,1
non_del_00310,non_delivery,upi,1911.26,42,,,1065,6,0,0,0,1,0,0
non_del_00311,non_delivery,upi,3752.81,17,,,1645,10,0,1,1,1,1,1
non_del_00312,non_delivery,netbanking,2990.5,38,,,1001,9,0,1,1,1,0,1
non_del_00313,non_delivery,netbanking,145.31,39,,,555,5,0,0,1,1,0,0
non_del_00314,non_delivery,upi,1933.74,7,,,1057,2,1,1,1,1,0,1
non_del_00315,non_delivery,netbanking,1892.43,42,,,51,7,1,0,0,1,0,0
non_del_00316,non_delivery,upi,1312.55,2,,,1761,7,1,0,1,1,0,0
non_del_00317,non_delivery,netbanking,226.65,17,,,1187,9,1,1,1,1,0,1
non_del_00318,non_delivery,netbanking,920.17,7,,,512,2,1,1,1,1,0,1
non_del_00319,non_delivery,upi,171.82,2,,,959,3,1,0,0,1,0,0
non_del_00320,non_delivery,upi,5871.82,24,,,64,11,0,1,1,1,0,1
non_del_00321,non_delivery,upi,1676.62,27,,,1573,7,1,0,0,1,0,0
non_del_00322,non_delivery,netbanking,2379.87,26,,,1062,4,0,1,1,1,1,1
non_del_00323,non_delivery,upi,720.15,18,,,9,5,1,1,1,1,0,1
non_del_00324,non_delivery,upi,256.51,35,,,919,5,1,0,0,1,0,0
non_del_00325,non_delivery,upi,1242.82,22,,,142,9,0,1,1,1,0,1
non_del_00326,non_delivery,upi,1113.03,24,,,774,4,0,1,1,1,0,1
non_del_00327,non_delivery,upi,2005.17,19,,,1719,5,0,1,1,1,1,1
